Hour,Thermal,Wind,Solar,Storage
t1,20,8.206079933,0,0
t2,20,29.25715026,0,0
t3,20,30.10872658,0,0
t4,20,20.65159451,0,0
t5,20,11.97414521,0,0
t6,20,17.15900303,0,0
t7,20,12.20552096,0,0
t8,20,13.55861405,0,0
t9,20,19.68202348,0,0
t10,20,27.27131748,0,0
t11,20,4.721157955,0,0
t12,20,7.599902888,0,0
t13,20,1.859229871,0,0
t14,20,30.74069275,0,0
t15,20,26.39194276,0,0
t16,20,29.07344521,0,0
t17,20,14.65799217,0,0
t18,20,12.59867086,0,0
t19,20,34.96334701,0,0
t20,20,26.29707997,0,0
t21,20,21.51699622,0,0
t22,20,22.15430993,0,0
t23,20,15.03148713,0,0
t24,20,25.49108077,0,0
